"ID","HWSD2_SMU_ID","WISE30s_SMU_ID","HWSD1_SMU_ID","COVERAGE","SHARE","WRB4","WRB_PHASES","WRB2","WRB2_CODE","FAO90","KOPPEN","TEXTURE_USDA","REF_BULK_DENSITY","BULK_DENSITY","DRAINAGE","ROOT_DEPTH","AWC","PHASE1","PHASE2","ROOTS","IL","ADD_PROP"
669,12707,WD10012707,12707,3,40,ALfr,ALfr,AL,2,ALf,A,11,1.6300000,1.3500000,MW,1,168,,,,,0
695,11825,WD30011825,11825,2,100,ALfr,ALfr,AL,2,ALf,C,7,1.7600000,1.4400000,MW,1,152,,,,,0
696,11823,WD30011823,11823,2,100,ALfr,ALfr,AL,2,ALf,C,7,1.7600000,1.4400000,MW,1,152,,,,,0
697,13458,WD30013458,13458,3,100,ALfr,ALfr,AL,2,ALf,C,7,1.7600000,1.4400000,MW,1,152,,,,,0
698,11824,WD30011824,11824,2,100,ALfr,ALfr,AL,2,ALf,C,7,1.7600000,1.4400000,MW,1,152,,,,,0
713,17690,WD10017690,17690,3,100,PTha,PTha,PT,24,ACp,A,10,1.7400000,1.4000000,P,1,119,,,,,0
715,12680,WD10012680,12680,3,80,PTha,PTha,PT,24,ACp,A,10,1.7400000,1.4000000,P,1,119,,,,,0
718,12726,WD10012726,12726,3,45,PTha,PTha,PT,24,ACp,A,10,1.7400000,1.4000000,P,1,119,,,,,0
719,31602,WD10031602,31602,3,100,PTha,PTha,PT,24,ACp,A,10,1.7400000,1.4000000,P,1,119,,,,,0
720,12712,WD10012712,12712,3,50,PTha,PTha,PT,24,ACp,A,10,1.7400000,1.4000000,P,1,119,,,,,0
723,27689,WD10027689,27689,3,60,PTha,PTha,PT,24,ACp,A,10,1.7400000,1.4000000,P,1,119,,,,,0
733,12858,WD10012858,12858,3,60,PTha,PTkk,PT,24,ACp,A,10,1.7400000,1.4000000,P,1,119,1,0,,,0
736,12661,WD10012661,12661,3,60,PTha,PTkk,PT,24,ACp,A,10,1.7400000,1.4000000,P,1,119,1,0,,,0
737,18786,WD10018786,18786,3,60,PTha,PTha,PT,24,ACp,A,10,1.7400000,1.4000000,P,1,119,,,,,0
738,12783,WD10012783,12783,3,75,PTha,PTha,PT,24,ACp,A,10,1.7400000,1.4000000,P,1,119,,,,,0
743,12723,WD10012723,12723,3,60,PTha,PTha,PT,24,ACp,A,10,1.7400000,1.4000000,P,1,119,,,,,0
747,27649,WD10027649,27649,3,55,PTha,PTha,PT,24,ACp,A,10,1.7400000,1.4000000,P,1,119,,,,,0
748,16050,WD10016050,16050,3,55,PTha,PTha,PT,24,ACp,A,10,1.7400000,1.4000000,P,1,119,,,,,0
750,12649,WD10012649,12649,3,40,PTha,PTha,PT,24,ACp,A,10,1.7400000,1.4000000,P,1,119,,,,,0
751,12560,WD10012560,12560,3,60,PTha,PTha,PT,24,ACp,A,10,1.7400000,1.4000000,P,1,119,,,,,0
753,27652,WD10027652,27652,3,70,PTha,PTha,PT,24,ACp,A,10,1.7400000,1.4000000,P,1,119,,,,,0
756,6336,WD30006336,6336,4,50,ACgl,ACfggl,AC,1,ACg,C,11,1.6300000,1.5300000,P,1,161,8,,,,0
757,4601,WD30004601,4601,4,40,ACgl,ACgl,AC,1,ACg,C,11,1.6300000,1.5300000,P,1,161,,,,,0
758,4602,WD30004602,4602,4,60,ACgl,ACgl,AC,1,ACg,C,11,1.6300000,1.5300000,P,1,161,,,,,0
759,4600,WD30004600,4600,4,60,ACgl,ACgl,AC,1,ACg,C,11,1.6300000,1.5300000,P,1,161,,,,,0
762,6337,WD30006337,6337,4,70,ACgl,ACfggl,AC,1,ACg,C,11,1.6300000,1.5300000,P,1,161,8,,,,0
773,6338,WD30006338,6338,4,40,ACgl,ACfggl,AC,1,ACg,C,11,1.6300000,1.5300000,P,1,161,8,,,,0
778,9723,WD30009723,9723,1,45,ACgl,ACglkk,AC,1,ACg,C,11,1.6300000,1.5300000,P,3,32,25,,1,4,0
779,5848,WD30005848,5848,4,40,ACgl,ACgl,AC,1,ACg,C,11,1.6300000,1.5300000,P,1,161,,,,,0
782,5850,WD30005850,5850,4,30,ACgl,ACgl,AC,1,ACg,C,11,1.6300000,1.5300000,P,1,161,,,,,0
973,1055,WD10001055,1055,4,50,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
974,1056,WD10001056,1056,4,90,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
975,18435,WD10018435,18435,3,60,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
977,31345,WD10031345,31345,3,50,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
978,1061,WD10001061,1061,4,60,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
980,1052,WD10001052,1052,4,70,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
983,1057,WD10001057,1057,4,60,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
984,1054,WD10001054,1054,4,60,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
989,1059,WD10001059,1059,4,60,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
990,1060,WD10001060,1060,4,60,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
992,1053,WD10001053,1053,4,70,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
993,1058,WD10001058,1058,4,50,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
995,12797,WD10012797,12797,3,60,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
998,27052,WD10027052,27052,3,55,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
999,17473,WD10017473,17473,3,100,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
1001,4467,WD10004467,4467,4,70,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
1002,12710,WD10012710,12710,3,50,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
1004,27046,WD10027046,27046,3,45,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
1005,17405,WD10017405,17405,3,35,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
1006,1062,WD10001062,1062,4,30,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
1008,1047,WD10001047,1047,4,60,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
1009,17461,WD10017461,17461,3,80,ACha,ACkk,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,1,0,,,0
1012,17449,WD10017449,17449,3,60,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
1013,12708,WD10012708,12708,3,40,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
1014,27041,WD10027041,27041,3,50,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
1016,17415,WD10017415,17415,3,40,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
1019,17438,WD10017438,17438,3,60,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
1022,17426,WD10017426,17426,3,100,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
1026,1050,WD10001050,1050,4,60,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
1027,1049,WD10001049,1049,4,60,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
1029,12693,WD10012693,12693,3,45,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
1031,31618,WD10031618,31618,3,55,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
1033,1048,WD10001048,1048,4,60,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
1037,27055,WD10027055,27055,3,40,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
1038,1045,WD10001045,1045,4,100,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
1039,12705,WD10012705,12705,3,40,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
1043,12819,WD10012819,12819,3,40,ACha,ACkk,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,1,0,,,0
1044,12702,WD10012702,12702,3,55,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
1051,1051,WD10001051,1051,4,60,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
1052,1046,WD10001046,1046,4,100,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
1057,16234,WD10016234,16234,3,40,ACha,ACha,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,,,,,0
1058,12658,WD10012658,12658,3,40,ACha,ACkk,AC,1,ACh,A,10,1.7700000,1.3700000,MW,1,137,1,0,,,0
