group,crop,holos_crop_name,condition,moisture,R_p,R_s,R_r,R_e,N_p,N_s,N_r,N_e
Small-grain cereals,Small_grain_cereals,Small grain cereals,Rainfed,12,0.32,0.511,0.102,0.067,23.9,6,10,10
Small-grain cereals,Wheat,Wheat,<200,12,0.219,0.551,0.136,0.095,27.9,8.6,13.4,13.4
Small-grain cereals,Wheat,Wheat,200-350,12,0.244,0.518,0.147,0.091,26.3,8.2,10.4,10.4
Small-grain cereals,Wheat,Wheat,>350,12,0.431,0.488,0.049,0.032,56.2,6.5,11.9,11.9
Small-grain cereals,Barley,Barley,<350,12,0.451,0.4,0.09,0.059,19,7,10,10
Small-grain cereals,Barley,Barley,350-750,12,0.432,0.445,0.074,0.048,23.9,7.3,9.7,9.7
Small-grain cereals,Barley,Barley,>750,12,0.424,0.498,0.047,0.031,19,3.8,9.5,9.5
Small-grain cereals,Undersown_barley,Undersown Barley,Canada,12,0.411,0.241,0.211,0.137,19,7,10,10
Small-grain cereals,Oats,Oats,Canada,12,0.319,0.283,0.241,0.157,18,6,10,10
Small-grain cereals,Triticale,Triticale,Canada,12,0.26,0.506,0.142,0.092,22,6,10,10
Small-grain cereals,Sorghum,Sorghum,Canada,12,0.219,0.656,0.075,0.05,25,6,10,10
Small-grain cereals,Canary_seed,Canary seed,Canada,8,0.21,0.511,0.212,0.067,25,7,10,10
Small-grain cereals,Buckwheat,Buckwheat,Canada,12,0.32,0.511,0.102,0.067,18,6,10,10
Small-grain cereals,Mixed_grains,Mixed grains,Canada,12,0.32,0.511,0.102,0.067,22.3,6.3,10,10
Small-grain cereals,Grain_corn,Grain corn,Canada,15,0.386,0.387,0.138,0.089,15,5,7,7
Silage,Corn_silage,Corn Silage,Canada,70,0.866,0,0.081,0.053,13,13,7,7
Silage,Barley_silage,Barley Silage,<350,63,0.851,0,0.09,0.059,12.7,0,10,10
Silage,Barley_silage,Barley Silage,350-750,63,0.877,0,0.074,0.048,12.1,0,9.7,9.7
Silage,Barley_silage,Barley Silage,>750,63,0.922,0,0.047,0.031,29.7,0,9.5,9.5
Silage,Oat_silage,Oat Silage,Canada,62,0.602,0,0.241,0.157,8.1,0,10,10
Silage,Triticale_silage,Triticale Silage,Canada,60,0.766,0,0.142,0.092,14.5,0,10,10
Silage,Wheat_silage,Wheat Silage,<200,57,0.77,0,0.136,0.095,14.1,0,13.4,13.4
Silage,Wheat_silage,Wheat Silage,200-350,57,0.762,0,0.147,0.091,14,0,10.4,10.4
Silage,Wheat_silage,Wheat Silage,>350,57,0.919,0,0.049,0.032,29.8,0,11.9,11.9
Silage,Grass_silage,Grass Silage,Canada,57,0.441,0,0.339,0.22,16,16,10,10
Oilseeds,Oilseeds,Oilseeds,Rainfed,9,0.184,0.637,0.109,0.071,61.5,7,10,10
Oilseeds,Oilseeds,Oilseeds,Irrigated,9,0.213,0.619,0.101,0.066,61.5,7,10,10
Oilseeds,Camelina,Camelina,Canada,9,0.12,0.34,0.34,0.2,54.1,4.6,15.35,15.35
Oilseeds,Canola,Canola,<200,9,0.133,0.533,0.208,0.126,63.6,13.6,8.3,8.3
Oilseeds,Canola,Canola,200-350,9,0.176,0.529,0.183,0.111,62.1,9.9,13.4,13.4
Oilseeds,Canola,Canola,>350,9,0.203,0.561,0.144,0.093,42,7.1,10.8,10.8
Oilseeds,Mustard,Mustard,<200,9,0.176,0.557,0.166,0.102,68.6,13.6,10.3,10.3
Oilseeds,Mustard,Mustard,>200,9,0.21,0.54,0.155,0.095,63.9,9.4,10.4,10.4
Oilseeds,Flax,Flax,<200,8,0.189,0.634,0.123,0.054,56.7,11.8,6,6
Oilseeds,Flax,Flax,>200,8,0.199,0.63,0.105,0.066,76,9.7,9.2,9.2
Pulse crops,Pulse_crops,Pulse crops,Rainfed,13,0.29,0.515,0.118,0.077,59.1,20.4,15.8,15.8
Pulse crops,Pulse_crops,Pulse crops,Irrigated,13,0.343,0.527,0.079,0.051,59.1,20.4,15.8,15.8
Pulse crops,Soybean,Soybean,Canada,14,0.304,0.455,0.146,0.095,67,6,10,10
Pulse crops,Beans_dry_field,Beans (dry field),Canada,13,0.539,0.412,0.03,0.019,42,10,10,10
